1st Edge LLC - PSS							
Labor Category	Site	8/26/2017 - 8/25/2018	8/26/2018 - 8/25/2019	8/26/2019 - 8/25/2020	8/26/2020 - 8/25/2021	8/26/2021 - 8/25/2022	8/26/2022 - 8/25/2023
Engineer/Scientist IV	Off	88.27	91.14	94.1	97.16	100.32	103.58
Engineer/Scientist V	On	90.25	93.19	96.21	99.34	102.57	105.9
Engineer/Scientist V	Off	103.86	107.23	110.72	114.31	118.03	121.87
Program Analyst I	On	70.19	72.47	74.82	77.25	79.76	82.35
Program Analyst I	Off	75.87	78.34	80.89	83.52	86.23	89.03
Program Analyst III	On	101.22	104.5	107.9	111.4	115.02	118.76
Program Analyst IV	On	104.81	108.22	111.74	115.36	119.12	122.99
Program Analyst IV	Off	119.86	123.75	127.78	131.93	136.22	140.64
Program Analyst IX	On	161.31	166.55	171.97	177.56	183.32	189.28
Program Analyst IX	Off	186.63	192.69	198.96	205.43	212.11	219
Program Analyst V	On	113.48	117.17	120.98	124.91	128.97	133.16
Program Analyst V	Off	129.78	134	138.35	142.85	147.5	152.29
Program Analyst VI	On	121.55	125.51	129.58	133.79	138.14	142.63
Program Analyst VI	Off	139	143.51	148.17	152.99	157.96	163.09
Program Analyst VII	On	127.15	131.29	135.55	139.96	144.51	149.2
Program Analyst VII	Off	145.44	150.17	155.05	160.08	165.29	170.67
Program Analyst VIII	On	140.38	144.95	149.66	154.53	159.55	164.74
Program Analyst VIII	Off	162.42	167.7	173.14	178.77	184.59	190.59
Program Manager I	On	132.58	136.89	141.34	145.93	150.67	155.57
Program Manager I	Off	151.61	156.53	161.62	166.87	172.3	177.89
Program Manager II	On	153.43	158.42	163.57	168.89	174.38	180.05
Program Manager II	Off	147.58	152.38	157.33	162.45	167.73	173.18
Program Manager III	On	178.97	184.78	190.78	196.98	203.38	209.99
Program Manager III	Off	181.4	187.3	193.39	199.67	206.16	212.86
Senior Engineer/ Scientist I	On	103.48	106.85	110.32	113.9	117.61	121.43
Senior Engineer/ Scientist I	Off	115.1	118.84	122.7	126.69	130.81	135.06
Senior Engineer/ Scientist II	On	124.85	128.91	133.1	137.43	141.89	146.51
Senior Engineer/ Scientist II	Off	137.16	141.62	146.22	150.97	155.87	160.94
Senior Engineer/ Scientist IV	On	217.76	224.84	232.14	239.69	247.48	255.52
Senior Engineer/ Scientist IV	Off	251.59	259.76	268.2	276.91	285.91	295.2
Senior Engineer/Scientist III	On	137.87	142.35	146.98	151.76	156.69	161.78
Senior Engineer/Scientist III	Off	151.63	156.56	161.65	166.9	172.32	177.92
Tech I	On	48.51	50.09	51.72	53.4	55.14	56.93
Tech II	On	55.85	57.67	59.55	61.49	63.49	65.55
							
"Torch Technologies, Inc. - IT"							
Labor Category	Site	12/11/2016 - 12/10/2017	12/11/2017 - 12/10/2018	12/11/2018 - 12/10/2019	12/11/2019 - 12/10/2020	12/11/2020 - 12/10/2021	12/11/2021 - 12/10/2022
Admin I	On	22.02	22.44	22.86	23.29	23.73	24.18
Admin I	Off	35.4	36.07	36.76	37.45	38.17	38.9
Admin II	On	34.35	35.01	35.67	36.35	37.04	37.74
Admin II	Off	42.17	42.97	43.79	44.62	45.47	46.34
Admin III	On	41.21	41.99	42.79	43.6	44.43	45.27
Admin III	Off	56.24	57.31	58.39	59.51	60.64	61.79
Entry Level Engineer	On	43.25	44.07	44.91	45.76	46.63	47.52
Entry Level Engineer	Off	49.41	50.35	51.31	52.29	53.28	54.29
IT Analyst/Engineer I	On	49.82	50.76	51.72	52.7	53.7	54.73
IT Analyst/Engineer I	Off	55.6	56.66	57.74	58.84	59.96	61.1
IT Analyst/Engineer II	On	55.29	56.34	57.41	58.51	59.62	60.75
IT Analyst/Engineer II	Off	61.37	62.53	63.72	64.93	66.16	67.42
IT Analyst/Engineer III	On	63.21	64.41	65.64	66.88	68.15	69.44
IT Analyst/Engineer III	Off	68.37	69.67	70.99	72.34	73.71	75.11
IT Analyst/Engineer IV	On	65.94	67.2	68.47	69.78	71.1	72.45
IT Analyst/Engineer IV	Off	73.43	74.83	76.25	77.69	79.17	80.67
IT Analyst/Engineer IX	On	112.94	115.08	117.27	119.5	121.77	124.09
IT Analyst/Engineer IX	Off	130.28	132.76	135.28	137.85	140.47	143.13
IT Analyst/Engineer V	On	72.48	73.85	75.25	76.69	78.14	79.62
IT Analyst/Engineer V	Off	78.41	79.9	81.42	82.97	84.54	86.15
IT Analyst/Engineer VI	On	75.28	76.71	78.16	79.65	81.16	82.7
IT Analyst/Engineer VI	Off	84.47	86.07	87.71	89.38	91.07	92.8
IT Analyst/Engineer VII	On	84.42	86.03	87.67	89.33	91.03	92.76
IT Analyst/Engineer VII	Off	97.62	99.47	101.36	103.29	105.25	107.25
IT Analyst/Engineer VIII	On	95.57	97.38	99.23	101.12	103.04	105
IT Analyst/Engineer VIII	Off	109.75	111.84	113.96	116.13	118.34	120.58
IT Analyst/Engineer X	On	165.02	168.16	171.35	174.61	177.92	181.31
IT Analyst/Engineer X	Off	179.03	182.43	185.89	189.43	193.03	196.69
Program Manager I	On	110.65	112.75	114.89	117.07	119.29	121.56
Program Manager I	Off	132.58	135.1	137.66	140.28	142.94	145.66
Program Manager II	On	112.85	115	117.18	119.4	121.67	123.98
Program Manager II	Off	146.11	148.89	151.72	154.6	157.54	160.53
Program Manager III	On	131.63	134.13	136.68	139.28	141.93	144.63
Program Manager III	Off	179.6	183.02	186.5	190.04	193.65	197.33
Subject Matter Expert I	On	175.77	179.11	182.52	185.99	189.53	193.13
Subject Matter Expert I	Off	200.87	204.69	208.57	212.53	216.57	220.68
Tech I	On	28.17	28.71	29.25	29.81	30.38	30.95
Tech I	Off	45.19	46.04	46.92	47.81	48.72	49.64
Tech II	On	43.5	44.32	45.17	46.02	46.89	47.79
Tech II	Off	69.74	71.06	72.42	73.79	75.19	76.62
							
OASYS, Inc. - PSS							
Labor Category	Site	8/26/2017 - 8/25/2018	8/26/2018 - 8/25/2019	8/26/2019 - 8/25/2020	8/26/2020 - 8/25/2021	8/26/2021 - 8/25/2022	8/26/2022 - 8/25/2023
Engineer/Scientist V	On	90.25	93.19	96.21	99.34	102.57	105.9
Engineer/Scientist V	Off	103.86	107.23	110.72	114.31	118.03	121.87
Program Analyst I	On	70.19	72.47	74.82	77.25	79.76	82.35
