"4M Research, Inc. - PES"										
Labor Category	Site	8/26/2013 - 2/21/2015	2/22/2015 - 8/25/2015	8/26/2015 - 8/25/2016	8/26/2016 - 11/9/2017					
Business Specialist I	On	75.07	76.57	78.1	79.66	81.25				
Business Specialist I	Off	88.31	90.08	91.88	93.72	95.59				
Business Specialist II	On	84.16	85.85	87.57	89.32	91.11				
Business Specialist II	Off	99.01	100.99	103.01	105.07	107.17				
Business Specialist III	On	93.26	95.12	97.02	98.96	100.94				
Business Specialist III	Off	109.72	111.91	114.15	116.43	118.76				
Business Specialist IV	On	106.92	109.06	111.24	113.46	115.73				
Business Specialist IV	Off	125.79	128.31	130.88	133.5	136.17				
Business Specialist V	On	111.46	113.68	115.95	118.27	120.64				
Business Specialist V	Off	131.12	133.75	136.43	139.16	141.94				
Business Specialist VI	On	120.55	122.96	125.42	127.93	130.49				
Business Specialist VI	Off	141.84	144.68	147.57	150.52	153.53				
Business Specialist VII	On	129.67	132.27	134.92	137.62	140.37				
Business Specialist VII	Off	152.54	155.59	158.7	161.87	165.11				
Engineer/Analyst I	On	61.04	62.26	63.51	64.78	66.08				
Engineer/Analyst I	Off	71.79	73.23	74.69	76.18	77.7				
Engineer/Analyst II	On	63	64.27	65.56	66.87	68.21				
Engineer/Analyst II	Off	74.11	75.59	77.1	78.64	80.21				
Engineer/Analyst III	On	65.43	66.74	68.07	69.43	70.82				
Engineer/Analyst III	Off	76.99	78.53	80.1	81.7	83.33				
Engineer/Analyst IV	On	71.76	73.19	74.65	76.14	77.66				
Engineer/Analyst IV	Off	84.43	86.12	87.84	89.6	91.39				
Engineer/Analyst V	On	82.14	83.78	85.46	87.17	88.91				
Engineer/Analyst V	Off	96.65	98.58	100.55	102.56	104.61				
Jr. Engineer/Analyst I	On	31.49	32.12	32.76	33.42	34.09				
Jr. Engineer/Analyst I	Off	37.05	37.79	38.55	39.32	40.11				
Jr. Engineer/Analyst II	On	44.55	45.44	46.35	47.28	48.23				
Jr. Engineer/Analyst II	Off	52.39	53.44	54.51	55.6	56.71				
Jr. Engineer/Analyst III	On	50.59	51.61	52.64	53.69	54.76				
Jr. Engineer/Analyst III	Off	59.53	60.72	61.93	63.17	64.43				
Jr. Engineer/Analyst IV	On	60.18	61.39	62.62	63.87	65.15				
Jr. Engineer/Analyst IV	Off	70.79	72.21	73.65	75.12	76.62				
Manager I	On	101.84	103.88	105.96	108.08	110.24				
Manager I	Off	119.81	122.21	124.65	127.14	129.68				
Manager II	On	116.21	118.53	120.9	123.32	125.79				
Manager II	Off	136.72	139.46	142.25	145.1	148				
Manager III	On	131.85	134.49	137.18	139.92	142.72				
Manager III	Off	155.11	158.21	161.37	164.6	167.89				
Manager IV	On	149.06	152.05	155.09	158.19	161.35				
Manager IV	Off	175.36	178.87	182.45	186.1	189.82				
Manager V	On	156.96	160.1	163.3	166.57	169.9				
Manager V	Off	184.66	188.35	192.12	195.96	199.88				
Manager VI	On	175.16	178.67	182.24	185.88	189.6				
Manager VI	Off	206.07	210.19	214.39	218.68	223.05				
Manager VII	On	184.26	187.95	191.71	195.54	199.45				
Manager VII	Off	216.78	221.11	225.53	230.04	234.64				
Project Manager I	On	86.9	88.64	90.41	92.22	94.06				
Project Manager I	Off	102.25	104.3	106.39	108.52	110.69				
Project Manager II	On	92.81	94.67	96.56	98.49	100.46				
Project Manager II	Off	109.19	111.37	113.6	115.87	118.19				
Project Manager III	On	101.85	103.89	105.97	108.09	110.25				
Project Manager III	Off	119.82	122.22	124.66	127.15	129.69				
Project Manager IV	On	106.15	108.27	110.44	112.65	114.9				
Project Manager IV	Off	124.88	127.37	129.92	132.52	135.17				
Project Manager IX	On	174.37	177.87	181.43	185.06	188.76				
Project Manager IX	Off	205.15	209.26	213.45	217.72	222.07				
Project Manager V	On	111.46	113.68	115.95	118.27	120.64				
Project Manager V	Off	131.12	133.75	136.43	139.16	141.94				
Project Manager VI	On	116.34	118.67	121.04	123.46	125.93				
Project Manager VI	Off	136.88	139.61	142.4	145.25	148.16				
Project Manager VII	On	120.55	122.96	125.42	127.93	130.49				
Project Manager VII	Off	141.84	144.68	147.57	150.52	153.53				
Project Manager VIII	On	129.67	132.27	134.92	137.62	140.37				
Project Manager VIII	Off	152.54	155.59	158.7	161.87	165.11				
Senior Engineer/Analyst I	On	79.23	80.81	82.43	84.08	85.76				
Senior Engineer/Analyst I	Off	93.22	95.08	96.98	98.92	100.9				
Senior Engineer/Analyst II	On	85.83	87.55	89.3	91.09	92.91				
Senior Engineer/Analyst II	Off	100.97	102.99	105.05	107.15	109.29				
Senior Engineer/Analyst III	On	89.36	91.15	92.97	94.83	96.73				
Senior Engineer/Analyst III	Off	105.12	107.22	109.36	111.55	113.78				
Senior Engineer/Analyst IV	On	93.26	95.12	97.02	98.96	100.94				
Senior Engineer/Analyst IV	Off	109.72	111.91	114.15	116.43	118.76				
Senior Engineer/Analyst IX	On	129.67	132.27	134.92	137.62	140.37				
Senior Engineer/Analyst IX	Off	152.54	155.59	158.7	161.87	165.11				
Senior Engineer/Analyst V	On	98.81	100.79	102.81	104.87	106.97				
Senior Engineer/Analyst V	Off	116.25	118.58	120.95	123.37	125.84				
Senior Engineer/Analyst VI	On	102.36	104.4	106.49	108.62	110.79				
Senior Engineer/Analyst VI	Off	120.43	122.84	125.3	127.81	130.37				
Senior Engineer/Analyst VII	On	106.92	109.06	111.24	113.46	115.73				
Senior Engineer/Analyst VII	Off	125.79	128.31	130.88	133.5	136.17				
Senior Engineer/Analyst VIII	On	120.55	122.96	125.42	127.93	130.49				
Senior Engineer/Analyst VIII	Off	141.84	144.68	147.57	150.52	153.53				
Senior Engineer/Analyst X	On	138.75	141.53	144.36	147.25	150.2				
Senior Engineer/Analyst X	Off	163.25	166.52	169.85	173.25	176.72				
Senior Engineer/Analyst XI	On	153.41	156.48	159.61	162.8	166.06				
Senior Engineer/Analyst XI	Off	180.45	184.07	187.75	191.51	195.34				
Senior Scientist/SME I	On	163.16	166.42	169.75	172.77	175.36				
Senior Scientist/SME I	Off	184.66	187.44	190.25	193.1	195.99				
Senior Scientist/SME II	On	193.89	197.77	201.73	205.76	209.88				
Senior Scientist/SME II	Off	227.68	231.1	234.56	238.08	241.65				
Senior Scientist/SME III	On	223.2	227.68	232.23	236.87	241.61				
Senior Scientist/SME III	Off	255.09	258.92	262.8	266.74	270.75				
Technical Specialist I	On	28.59	29.15	29.73	30.32	30.93				
Technical Specialist I	Off	33.63	34.31	35	35.7	36.41				
Technical Specialist II	On	35.34	36.04	36.76	37.5	38.25				
Technical Specialist II	Off	41.57	42.41	43.26	44.13	45.01				
Technical Specialist III	On	43.32	44.19	45.07	45.97	46.89				
Technical Specialist III	Off	50.95	51.96	53	54.06	55.14				
Technical Specialist IV	On	61.04	62.26	63.51	64.78	66.08				
Technical Specialist IV	Off	71.79	73.23	74.69	76.18	77.7				
Technician I	On	29.57	30.16	30.76	31.38	32.01				
Technician I	Off	34.78	35.48	36.19	36.91	37.65				
Technician II	On	38.66	39.43	40.22	41.02	41.84				
Technician II	Off	45.5	46.41	47.34	48.29	49.26				
Technician III	On	45.65	46.56	47.49	48.44	49.41				
Technician III	Off	53.71	54.78	55.88	57	58.14				
Technician IV	On	47.37	48.31	49.28	50.27	51.28				
Technician IV	Off	55.72	56.84	57.98	59.14	60.32				
Technician V	On	55.68	56.79	57.93	59.09	60.27				
Technician V	Off	65.5	66.8	68.14	69.5	70.89				
Technician VI	On	56.86	58	59.16	60.34	61.55				
Technician VI	Off	66.91	68.25	69.62	71.01	72.43				
Technician VII	On	65.97	67.29	68.64	70.01	71.41				
Technician VII	Off	77.6	79.15	80.73	82.34	83.99				
										
"5-D Systems, Inc - PES"										
Labor Category	Site	8/26/2013 - 2/21/2015	2/22/2015 - 8/25/2015	8/26/2015 - 8/25/2016	8/26/2016 - 11/9/2017					
Administrative Support I	Off	21.78	22.21	22.66	23.12					
Administrative Support I	On	18.51	18.88	19.26	19.64					
Administrative Support II	On	20.79	21.2	21.62	22.05					
Administrative Support II	Off	24.47	24.96	25.46	25.96					
Administrative Support III	Off	28.64	29.21	29.8	30.39					
Administrative Support III	On	24.33	24.82	25.32	25.83					
Administrative Support IV	Off	31.48	32.1	32.75	33.4					
Administrative Support IV	On	26.75	27.29	27.83	28.39					
Administrative Support IX	On	54.65	55.75	56.86	58					
Administrative Support IX	Off	64.3	65.59	66.91	68.25					
Administrative Support V	On	31.04	31.66	32.29	32.94					
Administrative Support V	Off	36.52	37.25	37.99	38.75					
Administrative Support VI	Off	40.15	40.95	41.77	42.6					
Administrative Support VI	On	34.12	34.8	35.5	36.21					
Administrative Support VII	Off	44.32	45.2	46.1	47.02					
Administrative Support VII	On	37.68	38.43	39.2	39.98					
Administrative Support VIII	On	45.53	46.44	47.37	48.31					
Administrative Support VIII	Off	53.55	54.63	55.72	56.84					
Business Specialist I	On	72.15	73.6	75.07	76.57					
Business Specialist I	Off	84.89	86.58	88.31	90.08					
Business Specialist II	Off	95.17	97.07	99.01	100.99					
Business Specialist II	On	80.89	82.51	84.16	85.85					
Business Specialist III	On	89.64	91.43	93.26	95.12					
Business Specialist III	Off	105.46	107.57	109.72	111.91					
Business Specialist IV	Off	120.91	123.32	125.79	128.31					
Business Specialist IV	On	102.76	104.82	106.92	109.06					
Business Specialist V	On	107.13	109.27	111.46	113.68					
Business Specialist V	Off	126.03	128.55	131.12	133.75					
Business Specialist VI	On	115.88	118.19	120.55	122.96					
Business Specialist VI	Off	136.34	139.06	141.84	144.68					
Business Specialist VII	On	124.63	127.13	129.67	132.27					
Business Specialist VII	Off	146.61	149.55	152.54	155.59					
Engineer/Analyst I	Off	69.01	70.38	71.79	73.23					
Engineer/Analyst I	On	58.68	59.85	61.04	62.26					
Engineer/Analyst II	Off	71.23	72.65	74.11	75.59					
Engineer/Analyst II	On	60.55	61.77	63	64.27					
Engineer/Analyst III	Off	73.99	75.47	76.99	78.53					
Engineer/Analyst III	On	62.89	64.15	65.43	66.74					
Engineer/Analyst IV	Off	81.15	82.78	84.43	86.12					
Engineer/Analyst IV	On	68.97	70.35	71.76	73.19					
Engineer/Analyst V	On	78.95	80.53	82.14	83.78					
Engineer/Analyst V	Off	92.9	94.75	96.65	98.58					
Junior Engineer/Analyst I	On	30.27	30.87	31.49	32.12					
Junior Engineer/Analyst I	Off	35.61	36.33	37.05	37.79					
Junior Engineer/Analyst II	On	42.81	43.67	44.55	45.44					
Junior Engineer/Analyst II	Off	50.36	51.37	52.39	53.44					
