"Aegis Technologies Group, Inc., The - PSS"							
Labor Category	Site	10/29/2017 - 10/28/2018	10/29/2018 - 10/28/2019	10/29/2019 - 10/28/2020	10/29/2020 - 10/28/2021	10/29/2021 - 10/28/2022	10/29/2022 - 10/28/2023
Technician 2	On	44.96	45.63	46.32	47.01	47.72	48.43
							
"Penta Research, Inc. - PSS"							
Labor Category	Site	5/15/2017 - 3/3/2018	3/4/2018 - 3/3/2019	3/4/2019 - 3/3/2020	3/4/2020 - 3/3/2021	3/4/2021 - 3/3/2022	3/4/2022 - 3/3/2023
Engineer 5	On	121.61	123.43	125.29	127.17	129.08	131.02
Program Analyst 1	On	62.21	63.14	64.09	65.05	66.03	67.01
Program Analyst 3	On	84.3	85.56	86.84	88.14	89.46	90.8
Program Analyst 4	On	87.36	88.67		91.34	92.71	94.1
Program Analyst 5	On	93.69	95.1	96.52	97.97	99.44	100.94
Program Analyst 6	On	98.98	100.46	101.97	103.5	105.05	106.63
Program Analyst 7	On	105.57	107.16	108.77	110.4	112.05	113.73
Program Analyst 8	On	115.92	117.65	119.42	121.21	123.03	124.87
Program Analyst 9	On	130.27	132.22	134.2	136.22	138.26	140.34
Senior Engineer 2	On	151.65	153.93	156.24	158.59	160.96	163.38
Senior Engineer 3	On	164.98	167.45	169.96	172.51	175.1	177.73
Senior Engineer 4	On	194.29	197.2	200.16	203.17	206.21	209.31
							
"PeopleTec, Inc. - PSS"							
Labor Category	Site	1/29/2017 - 1/28/2018	1/29/2018 - 1/28/2019	1/29/2019 - 1/28/2020	1/29/2020 - 1/28/2021	1/29/2021 - 1/28/2022	1/29/2022 - 1/28/2023
Administrative 2	On	40.25	41.42	42.63	43.86	45.14	46.45
Engineer/Scientist L1	On	95.66	98.44	101.29	104.23	107.25	110.35
Engineer/Scientist L1	Off	108.71	111.86	115.1	118.44	121.87	125.4
Engineer/Scientist L3	On	134.51	138.41	142.42	146.55	150.8	155.17
Engineer/Scientist L4	Off	159.95	164.59	169.36	174.27	179.32	184.52
Jr. Engineer I	On	69.21	71.22	73.29	75.42	77.61	79.86
Jr. Engineer II	On	82.53	84.92	87.38	89.92	92.52	95.21
Sr. Engineer/Scientist L1	On	147.01	151.27	155.66	160.18	164.82	169.6
Sr. Engineer/Scientist L2	On	155.06	159.55	164.18	168.94	173.84	178.89
Sr. Engineer/Scientist L2	Off	176.2	181.31	186.57	191.98	197.55	203.28
Subject Matter Expert III	On		206.83	212.83		225.35	231.89
Subject Matter Expert III	Off	228.41	235.03	241.85	248.86	256.08	263.51
Sys Engineer/Analyst 1	On	111.56	114.8	118.12	121.55	125.07	128.7
Sys Engineer/Analyst 7	On	170.23	175.16	180.24	185.47	190.85	196.38
Sys Engineer/Analyst 7	Off	193.44	199.05	204.82	210.76	216.87	223.16
							
"Quantitech, Inc - PSS"							
Labor Category	Site	8/26/2017 - 8/25/2018	8/26/2018 - 8/25/2019	8/26/2019 - 8/25/2020	8/26/2020 - 8/25/2021	8/26/2021 - 8/25/2022	8/26/2022 - 8/25/2023
Analyst I	On	59.56	60.9	62.27	63.67	65.1	66.57
Analyst II	On	68.27	69.8	71.37	72.98	74.62	76.3
Analyst III	On	75.06	76.74	78.47	80.23	82.04	83.88
Analyst IV	On	85.64	87.56	89.53	91.54	93.61	95.72
Engineer/Scientist I	On	64.59	66.05	67.54	69.05	70.6	72.19
Engineer/Scientist II	On	71.63	73.24	74.89	76.58	78.3	80.06
Engineer/Scientist III	On	81.84	83.68	85.57	87.5	89.47	91.48
Engineer/Scientist V	On	103.52	105.85	108.23	110.67	113.16	115.71
Subject Matter Expert II	On	121.29	124.02	126.81	129.66	132.57	135.56
Subject Matter Expert III	On	138.02	141.12	144.3	147.55	150.87	154.26
							
Science Applications International Corporation (SAIC) - PSS							
Labor Category	Site	5/15/2017 - 3/3/2018	3/4/2018 - 3/3/2019	3/4/2019 - 3/3/2020	3/4/2020 - 3/3/2021	3/4/2021 - 3/3/2022	3/4/2022 - 3/3/2023
Administrative Support 3	Off	50.27	51.02	51.79	52.57	53.36	54.15
Engineer 2	On	67.58	68.6	69.63	70.67	71.73	72.81
Engineer 2	Off	68.29	69.32	70.36	71.41	72.49	73.57
Engineer 3	Off	85.52	86.8	88.11	89.43	90.78	92.14
Engineer 4	Off	101.41	102.93	104.48	106.04	107.64	109.25
Engineer 5	On	119.1	120.89	122.7	124.55	126.42	128.32
Engineer 5	Off	120.36	122.16	123.99	125.86	127.75	129.67
Program Analyst 3	On	82.56	83.8	85.05	86.33	87.62	88.93
Program Analyst 4	Off	86.46	87.75	89.07	90.4	91.76	93.13
Program Analyst 6	On	98.98	100.46	101.97	103.5	105.05	106.63
Program Analyst 6	Off	100.02	101.52	103.05	104.59	106.16	107.75
Senior Engineer 1	On	131.69	133.67	135.67	137.7	139.76	141.86
Senior Engineer 1	Off	133.08	135.07	137.1	139.15	141.24	143.36
Senior Engineer 2	On	148.52	150.76	153.02	155.32	157.64	160.01
Senior Engineer 2	Off	150.09	152.34	154.63	156.95	159.3	161.69
Senior Engineer 3	Off	163.28	165.72	168.21	170.74	173.3	175.9
							
"ShapeFidelity, Inc. - PSS"							
Labor Category	Site	5/15/2017 - 3/3/2018	3/4/2018 - 3/3/2019	3/4/2019 - 3/3/2020	3/4/2020 - 3/3/2021	3/4/2021 - 3/3/2022	3/4/2022 - 3/3/2023
Engineer 2	On	54.78	55.6	56.43	57.28	58.14	59.01
Engineer 2	Off	54.78	55.6	56.43	57.28	58.14	59.01
Engineer 3	On	68.59	69.62	70.67	71.73	72.81	73.9
Engineer 3	Off	68.59	69.62	70.67	71.73	72.81	73.9
Engineer 4	On	81.34	82.56	83.8	85.05	86.33	87.63
Engineer 4	Off	81.34	82.56	83.8	85.05	86.33	87.63
Engineer 5	On	96.53	97.98	99.45	100.95	102.46	
Engineer 5	Off	96.53	97.98	99.45	100.95	102.46	
Senior Engineer 1	On	106.74	108.34	109.96	111.61	113.28	114.98
Senior Engineer 1	Off	106.74	108.34	109.96	111.61	113.28	114.98
Senior Engineer 2	On	120.38	122.19	124.02	125.89	127.77	129.69
Senior Engineer 2	Off	120.38	122.19	124.02	125.89	127.77	129.69
Senior Engineer 3	On	130.96	132.93	134.92	136.94		141.09
Senior Engineer 3	Off	130.96	132.93	134.92	136.94		141.09
Senior Engineer 4	On	154.23	156.54	158.89	161.28	163.69	166.15
Senior Engineer 4	Off	154.23	156.54	158.89	161.28	163.69	166.15
							
"SigmaTech, Inc. - PSS"							
Labor Category	Site	3/2/2017 - 3/1/2018	3/2/2018 - 3/1/2019	3/2/2019 - 3/1/2020	3/2/2020 - 3/1/2021	3/2/2021 - 3/1/2022	3/2/2022 - 3/1/2023
PES - Analyst II	On	53.35	54.31	55.28	56.28	57.29	58.32
PES - Analyst III	On	60.32	61.41	62.51	63.64	64.78	65.95
PES - Concept/Principal Analyst	On	88.16	89.75	91.36	93.01	94.68	96.38
PES - Engineer II	On	57.53	58.57	59.62	60.7	61.79	62.9
PES - Engineer III	On	74.28	75.62	76.98	78.37	79.78	81.22
PES - Logistician IV	On	102.12	103.96	105.83	107.73	109.67	111.65
PES - Research Engineer II	On	64.91	66.08	67.27	68.48	69.72	70.97
PES - Scientist IV	On	85.38	86.92	88.49	90.08	91.7	93.35
PES - Sr. Principal Investigator	On	120.68	122.86	125.06	127.31	129.61	131.94
PES - Subject Matter Expert II	On	125.18	127.43	129.73	132.06	134.44	136.86
PES - Subject Matter Expert IV	On	143.75	146.33	148.97	151.65	154.38	157.16
PES - Systems Analyst III	On	78.84	80.25	81.7	83.17	84.67	86.19
							
"Signature Research, Inc - PSS"							
Labor Category	Site	5/15/2017 - 3/3/2018	3/4/2018 - 3/3/2019	3/4/2019 - 3/3/2020	3/4/2020 - 3/3/2021	3/4/2021 - 3/3/2022	3/4/2022 - 3/3/2023
