"Aegis Technologies Group, Inc., The - PES"							
Labor Category	Site	8/26/2011 - 8/25/2012	8/26/2012 - 10/10/2014	10/11/2014 - 8/25/2015	8/26/2015 - 8/25/2016	8/26/2016 - 8/25/2017	
Engineer/Scientist I	Off	65.47	67.43	69.66	71.92	74.26	
Engineer/Scientist I	On	52.82	54.41	57.72	59.45	61.24	
Engineer/Scientist II	Off	75.78	78.06	82.81	85.29	87.85	
Engineer/Scientist II	On	64.2	66.12	70.15	72.25	74.42	
Engineer/Scientist III	Off	93.83	96.64	102.53	105.61	108.77	
Engineer/Scientist III	On	83.45	85.96	91.19	93.93	96.74	
Engineer/Scientist IV	On	99.35	102.33	108.56	111.82	115.17	
Engineer/Scientist IV	Off	117.28	120.8	128.16	132	135.96	
Engineer/Scientist V	Off	130.92	134.85	143.06	147.36	151.78	
Engineer/Scientist V	On	115.01	118.46	125.67	129.44	133.32	
Program Analyst VII	Off	138.29	142.44	148.48	153.3	158.28	
Program Manager III	Off	189.02	194.69	206.55	212.75	219.13	
Senior Engineer/ Scientist I	Off	163.66	168.57	171.43	177	182.75	
Senior Engineer/ Scientist II	Off	180.43	185.84	197.16	203.08	209.17	
Senior Engineer/ Scientist IV	Off	229.12	235.99	250.36	257.87	265.61	
							
"Dynetics, Inc. - PES"							
Labor Category	Site	2/17/2012 - 2/16/2013	2/17/2013 - 2/16/2014	2/17/2014 - 2/16/2015	2/17/2015 - 2/16/2016	2/17/2016 - 2/16/2017	2/17/2017 - 2/16/2018
"PES-01, Senior Principal Program Manager"	Off		257.66	265.65	273.88	282.37	291.13
"PES-09,Senior Principal Engineer/Analyst"	Off	166.11	171.26	176.57	182.04	187.68	193.5
"PES-09,Senior Principal Engineer/Analyst"	On	143.61	148.06	152.65	157.39	162.27	167.3
PES-10 Principal Engineer/Analyst	Off		149.12	153.74	158.51	163.42	168.49
PES-11 Senior Engineer/Analyst	Off	112.92	116.42	120.03	123.75	127.58	131.54
PES-13 Engineer/Analyst II	On	72.8	75.06	77.39	79.79	82.26	84.81
PES-13 Engineer/Analyst II	Off	84.21	86.82	89.51	92.27	95.14	98.09
PES-14 Engineer/Analyst III	On	63.32	65.28	67.3	69.39	71.54	73.76
PES-14 Engineer/Analyst III	Off	73.23	75.5	77.84	80.26	82.74	85.31
PES-28 Sr. Principal Scientist	On		179.06	184.61	190.34	196.24	202.32
PES-28 Sr. Principal Scientist	Off	200.88	207.11	213.53	220.15	226.97	234.01
PES-29 Principal Scientist	On		142.95	147.38	151.95	156.66	161.52
PES-30 Sr. Scientist	On		127.25	131.2	135.26	139.46	143.78
PES-30 Sr. Scientist	Off		147.18	151.75	156.45	161.3	166.3
PES-31 Scientist I	On	107.79	111.13	114.57	118.12	121.78	125.56
PES-31 Scientist I	Off		128.53	132.52	136.63	140.86	145.23
PES-32 Scientist II	On	94.9	97.84	100.87	104	107.21	110.55
PES-32 Scientist II	Off		113.16	116.67	120.29	124.02	127.86
PES-33 Scientist III	On	80.97	83.48	86.07	88.74	91.49	94.32
PES-33 Scientist III	Off		96.55	99.55	102.63	105.82	109.1
PES-35 Sr. Management Technical Staff I	On	155.96	160.79	165.78	170.92	176.22	181.68
PES-37 Sr. Management Technical Staff III	On	129.77	133.79	137.94	142.22	146.63	151.17
PES-53 Program Management Analyst I	On	95.98	98.96	102.02	105.18	108.45	111.81
PES-60 * Intermediate Technical Specialist	On	63.9	65.88	67.92	70.03	72.2	74.44
PES-60 * Intermediate Technical Specialist	Off	73.91	76.2	78.56	81	83.51	86.1
PES-61 * Technical Specialist	On	49.95	51.5	53.1	54.74	56.44	58.19
PES-61 * Technical Specialist	Off	57.77	59.57	61.41	63.32	65.28	67.3
							
"Dynetics, Inc. - PSS"							
